Site	Month	Caccobius_bawangensis	Catharsius_dayacus	Catharsius_renaudpauliani	Copis_agnus	Copis_ramosiceps	Copis_sinicus	Microcopis_doriae	Microcopis_hidakai
1	January	0	5	8	0	0	9	1	0
-	February	1	0	4	0	0	0	1	1
-	March	1	0	5	0	0	0	0	0
-	May	1	0	1	0	0	1	0	0
-	August	1	3	6	0	0	4	8	4
-	November	0	2	5	0	0	1	1	2
2	January	1	6	8	0	0	7	0	0
-	February	1	0	2	0	0	2	0	0
-	April	0	1	5	0	0	2	0	0
-	May	0	2	11	0	0	1	0	0
-	October	0	0	7	0	0	1	0	2
3	January	1	2	2	0	0	0	0	0
-	March	0	0	4	0	0	1	0	0
-	May	0	0	1	0	0	0	0	0
-	June	1	1	4	0	0	0	1	0
-	October	0	2	8	0	0	3	1	2
-	November	0	10	5	0	0	4	15	1
4	May	0	0	0	0	0	0	0	0
-	July	0	0	2	0	0	0	0	0
-	December	0	1	10	1	0	5	6	4
