"Site","spp","January","February"
1,"Caccobius_bawangensis",0,NA
1,"Catharsius_dayacus",5,NA
1,"Catharsius_renaudpauliani",8,NA
2,"Caccobius_bawangensis",1,NA
2,"Catharsius_dayacus",6,NA
2,"Catharsius_renaudpauliani",8,NA
3,"Caccobius_bawangensis",1,NA
3,"Catharsius_dayacus",2,NA
3,"Catharsius_renaudpauliani",2,NA
4,"Caccobius_bawangensis",NA,1
4,"Catharsius_dayacus",NA,0
4,"Catharsius_renaudpauliani",NA,4
5,"Caccobius_bawangensis",NA,1
5,"Catharsius_dayacus",NA,0
5,"Catharsius_renaudpauliani",NA,2
